team,name,start,end,band,freq
Nuggets,Nuggets at Raptors,2016-10-04 01:00:00+00:00,2016-10-04 03:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2016-10-08 02:30:00+00:00,2016-10-08 05:00:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2016-10-10 01:30:00+00:00,2016-10-10 04:00:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2016-10-13 00:00:00+00:00,2016-10-13 02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2016-10-15 01:00:00+00:00,2016-10-15 03:30:00+00:00,AM,950
Nuggets,Nuggets at Trail Blazers,2016-10-17 01:00:00+00:00,2016-10-17 03:30:00+00:00,AM,950
Nuggets,Nuggets at Thunder,2016-10-19 00:00:00+00:00,2016-10-19 02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2016-10-22 01:00:00+00:00,2016-10-22 03:30:00+00:00,AM,950
Nuggets,Nuggets at Pelicans,2016-10-27 00:00:00+00:00,2016-10-27 02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Trail Blazers,2016-10-30 01:00:00+00:00,2016-10-30 03:30:00+00:00,AM,950
Nuggets,Nuggets at Raptors,2016-10-31 23:30:00+00:00,2016-11-01 02:00:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2016-11-04 00:00:00+00:00,2016-11-04 02:30:00+00:00,AM,950
Nuggets,Nuggets at Pistons,2016-11-05 23:00:00+00:00,2016-11-06 01:30:00+00:00,AM,950
Nuggets,Nuggets at Celtics,2016-11-07 00:30:00+00:00,2016-11-07 03:00:00+00:00,AM,950
Nuggets,Nuggets at Grizzlies,2016-11-09 01:00:00+00:00,2016-11-09 03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2016-11-11 02:00:00+00:00,2016-11-11 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pistons,2016-11-13 02:00:00+00:00,2016-11-13 04:30:00+00:00,AM,950
Nuggets,Nuggets at Trail Blazers,2016-11-14 02:00:00+00:00,2016-11-14 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Suns,2016-11-17 02:00:00+00:00,2016-11-17 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Raptors,2016-11-19 02:00:00+00:00,2016-11-19 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Jazz,2016-11-21 02:00:00+00:00,2016-11-21 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Bulls,2016-11-23 02:00:00+00:00,2016-11-23 04:30:00+00:00,AM,950
Nuggets,Nuggets at Jazz,2016-11-24 02:00:00+00:00,2016-11-24 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Thunder,2016-11-26 02:00:00+00:00,2016-11-26 04:30:00+00:00,AM,950
Nuggets,Nuggets at Suns,2016-11-27 20:30:00+00:00,2016-11-27 23:00:00+00:00,AM,950
Nuggets,Nuggets vs. Heat,2016-12-01 02:00:00+00:00,2016-12-01 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Rockets,2016-12-03 03:30:00+00:00,2016-12-03 06:00:00+00:00,AM,950
Nuggets,Nuggets at Jazz,2016-12-04 02:00:00+00:00,2016-12-04 04:30:00+00:00,AM,950
Nuggets,Nuggets at 76ers,2016-12-06 00:00:00+00:00,2016-12-06 02:30:00+00:00,AM,950
Nuggets,Nuggets at Nets,2016-12-08 00:30:00+00:00,2016-12-08 03:00:00+00:00,AM,950
Nuggets,Nuggets at Wizards,2016-12-09 00:00:00+00:00,2016-12-09 02:30:00+00:00,AM,950
Nuggets,Nuggets at Magic,2016-12-11 00:00:00+00:00,2016-12-11 02:30:00+00:00,AM,950
Nuggets,Nuggets at Mavericks,2016-12-13 01:30:00+00:00,2016-12-13 04:00:00+00:00,AM,950
Nuggets,Nuggets vs. Trail Blazers,2016-12-16 02:00:00+00:00,2016-12-16 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Knicks,2016-12-18 02:00:00+00:00,2016-12-18 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2016-12-20 02:00:00+00:00,2016-12-20 04:30:00+00:00,AM,950
Nuggets,Nuggets at Clippers,2016-12-21 03:30:00+00:00,2016-12-21 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Hawks,2016-12-24 02:00:00+00:00,2016-12-24 04:30:00+00:00,AM,950
Nuggets,Nuggets at Clippers,2016-12-27 03:30:00+00:00,2016-12-27 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Timberwolves,2016-12-29 02:00:00+00:00,2016-12-29 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. 76ers,2016-12-31 02:00:00+00:00,2016-12-31 04:30:00+00:00,AM,950
Nuggets,Nuggets at Warriors,2017-01-03 03:30:00+00:00,2017-01-03 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Kings,2017-01-04 02:00:00+00:00,2017-01-04 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Spurs,2017-01-06 02:00:00+00:00,2017-01-06 04:30:00+00:00,AM,950
Nuggets,Nuggets at Thunder,2017-01-08 01:00:00+00:00,2017-01-08 03:30:00+00:00,AM,950
Nuggets,Nuggets vs. Pacers,2017-01-12 20:00:00+00:00,2017-01-12 22:30:00+00:00,AM,950
Nuggets,Nuggets vs. Magic,2017-01-16 22:00:00+00:00,2017-01-17 00:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2017-01-18 03:30:00+00:00,2017-01-18 06:00:00+00:00,AM,950
Nuggets,Nuggets at Spurs,2017-01-20 01:30:00+00:00,2017-01-20 04:00:00+00:00,AM,950
Nuggets,Nuggets vs. Clippers,2017-01-22 02:00:00+00:00,2017-01-22 04:30:00+00:00,AM,950
Nuggets,Nuggets at Timberwolves,2017-01-23 00:00:00+00:00,2017-01-23 02:30:00+00:00,AM,950
Nuggets,Nuggets vs. Jazz,2017-01-25 02:00:00+00:00,2017-01-25 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Suns,2017-01-27 02:00:00+00:00,2017-01-27 04:30:00+00:00,AM,950
Nuggets,Nuggets at Suns,2017-01-29 02:00:00+00:00,2017-01-29 04:30:00+00:00,AM,950
Nuggets,Nuggets at Lakers,2017-02-01 03:30:00+00:00,2017-02-01 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Grizzlies,2017-02-02 02:00:00+00:00,2017-02-02 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Bucks,2017-02-04 02:00:00+00:00,2017-02-04 04:30:00+00:00,AM,950
Nuggets,Nuggets at Spurs,2017-02-05 02:00:00+00:00,2017-02-05 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Mavericks,2017-02-07 02:00:00+00:00,2017-02-07 04:30:00+00:00,AM,950
Nuggets,Nuggets at Hawks,2017-02-09 00:30:00+00:00,2017-02-09 03:00:00+00:00,AM,950
Nuggets,Nuggets at Knicks,2017-02-11 00:30:00+00:00,2017-02-11 03:00:00+00:00,AM,950
Nuggets,Nuggets at Cavaliers,2017-02-12 00:30:00+00:00,2017-02-12 03:00:00+00:00,AM,950
Nuggets,Nuggets vs. Warriors,2017-02-14 02:00:00+00:00,2017-02-14 04:30:00+00:00,AM,950
Nuggets,Nuggets vs. Timberwolves,2017-02-16 02:00:00+00:00,2017-02-16 04:30:00+00:00,AM,950
Nuggets,66th NBA All-Star Game,2017-02-20 01:00:00+00:00,2017-02-20 04:00:00+00:00,AM,950
Nuggets,Nuggets at Kings,2017-02-24 03:30:00+00:00,2017-02-24 06:00:00+00:00,AM,950
Nuggets,Nuggets vs. Nets,2017-02-25 02:00:00+00:00,2017-02-25 04:30:00+00:00,AM,950
Rockies,Rockies at D-backs,2017-02-25 15:10:00-05:00,2017-02-25 18:10:00-05:00,FM,94.1
Rockies,Rockies at White Sox,2017-02-26 15:05:00-05:00,2017-02-26 18:05:00-05:00,FM,94.1
Rockies,Rockies at Dodgers,2017-02-27 15:05:00-05:00,2017-02-27 18:05:00-05:00,FM,94.1
Rockies,Dodgers at Rockies,2017-02-28 15:10:00-05:00,2017-02-28 18:10:00-05:00,FM,94.1
Nuggets,Nuggets at Bulls,2017-03-01 01:00:00+00:00,2017-03-01 03:30:00+00:00,AM,950
Rockies,Padres at Rockies,2017-03-01 15:10:00-05:00,2017-03-01 18:10:00-05:00,FM,94.1
Nuggets,Nuggets at Bucks,2017-03-02 01:00:00+00:00,2017-03-02 03:30:00+00:00,AM,950
Rockies,Rockies at Royals,2017-03-02 15:05:00-05:00,2017-03-02 18:05:00-05:00,FM,94.1
Rockies,Rockies at Indians,2017-03-03 15:05:00-05:00,2017-03-03 18:05:00-05:00,FM,94.1
Rockies,Mariners at Rockies,2017-03-04 15:10:00-05:00,2017-03-04 18:10:00-05:00,FM,94.1
Nuggets,Nuggets vs. Hornets,2017-03-05 02:00:00+00:00,2017-03-05 04:30:00+00:00,AM,950
Rockies,Rockies at Brewers,2017-03-05 15:05:00-05:00,2017-03-05 18:05:00-05:00,FM,94.1
Rockies,Dodgers at Rockies,2017-03-06 15:10:00-05:00,2017-03-06 18:10:00-05:00,FM,94.1
Nuggets,Nuggets vs. Kings,2017-03-07 02:00:00+00:00,2017-03-07 04:30:00+00:00,AM,950
Rockies,Rockies at Rangers,2017-03-07 15:05:00-05:00,2017-03-07 18:05:00-05:00,FM,94.1
Nuggets,Nuggets vs. Wizards,2017-03-09 02:00:00+00:00,2017-03-09 04:30:00+00:00,AM,950
Rockies,Puerto Rico at Rockies,2017-03-09 15:10:00-05:00,2017-03-09 18:10:00-05:00,FM,94.1
Rockies,Rockies at Reds,2017-03-10 20:05:00-05:00,2017-03-10 23:05:00-05:00,FM,94.1
Rockies,Rockies at Cubs,2017-03-11 15:05:00-05:00,2017-03-11 18:05:00-05:00,FM,94.1
Nuggets,Nuggets at Kings,2017-03-12 03:30:00+00:00,2017-03-12 06:00:00+00:00,AM,950
Rockies,Reds at Rockies,2017-03-12 16:10:00-04:00,2017-03-12 19:10:00-04:00,FM,94.1
Rockies,Royals at Rockies,2017-03-13 16:10:00-04:00,2017-03-13 19:10:00-04:00,FM,94.1
Nuggets,Nuggets vs. Lakers,2017-03-14 02:30:00+00:00,2017-03-14 05:00:00+00:00,AM,950
Rockies,Rockies at Athletics,2017-03-14 16:05:00-04:00,2017-03-14 19:05:00-04:00,FM,94.1
Rockies,Brewers at Rockies,2017-03-15 16:10:00-04:00,2017-03-15 19:10:00-04:00,FM,94.1
Rockies,Angels at Rockies,2017-03-16 16:10:00-04:00,2017-03-16 19:10:00-04:00,FM,94.1
Nuggets,Nuggets vs. Clippers,2017-03-17 01:00:00+00:00,2017-03-17 03:30:00+00:00,AM,950
Rockies,Rockies at Giants,2017-03-17 21:05:00-04:00,2017-03-18 00:05:00-04:00,FM,94.1
Rockies,Rockies at Angels,2017-03-18 16:10:00-04:00,2017-03-18 19:10:00-04:00,FM,94.1
Nuggets,Nuggets vs. Rockets,2017-03-19 01:30:00+00:00,2017-03-19 04:00:00+00:00,AM,950
Rockies,Athletics at Rockies,2017-03-19 16:10:00-04:00,2017-03-19 19:10:00-04:00,FM,94.1
Rockies,Cubs at Rockies,2017-03-20 16:10:00-04:00,2017-03-20 19:10:00-04:00,FM,94.1
Nuggets,Nuggets at Rockets,2017-03-21 00:00:00+00:00,2017-03-21 02:30:00+00:00,AM,950
Rockies,Indians at Rockies,2017-03-22 16:10:00-04:00,2017-03-22 19:10:00-04:00,FM,94.1
Nuggets,Nuggets vs. Cavaliers,2017-03-23 01:00:00+00:00,2017-03-23 03:30:00+00:00,AM,950
Rockies,Rockies at Indians,2017-03-23 16:05:00-04:00,2017-03-23 19:05:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-03-24 16:10:00-04:00,2017-03-24 19:10:00-04:00,FM,94.1
Rockies,Cubs at Rockies,2017-03-25 16:10:00-04:00,2017-03-25 19:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-03-26 16:10:00-04:00,2017-03-26 19:10:00-04:00,FM,94.1
Nuggets,Nuggets vs. Pelicans,2017-03-27 00:00:00+00:00,2017-03-27 02:30:00+00:00,AM,950
Rockies,Rockies at Rangers,2017-03-27 16:05:00-04:00,2017-03-27 19:05:00-04:00,FM,94.1
Rockies,Rangers at Rockies,2017-03-28 15:10:00-04:00,2017-03-28 18:10:00-04:00,FM,94.1
Nuggets,Nuggets at Trail Blazers,2017-03-29 02:00:00+00:00,2017-03-29 04:30:00+00:00,AM,950
Rockies,Rockies at Padres,2017-03-30 15:10:00-04:00,2017-03-30 18:10:00-04:00,FM,94.1
Nuggets,Nuggets at Hornets,2017-03-31 23:00:00+00:00,2017-04-01 01:30:00+00:00,AM,950
Rockies,Rockies at Mariners,2017-03-31 21:40:00-04:00,2017-04-01 00:40:00-04:00,FM,94.1
Rockies,Mariners at Rockies,2017-04-01 15:10:00-04:00,2017-04-01 18:10:00-04:00,FM,94.1
Nuggets,Nuggets at Heat,2017-04-02 22:00:00+00:00,2017-04-03 00:30:00+00:00,AM,950
Rockies,Rockies at Brewers,2017-04-03 14:10:00-04:00,2017-04-03 17:10:00-04:00,FM,94.1
Rockies,Rockies at Brewers,2017-04-04 19:40:00-04:00,2017-04-04 22:40:00-04:00,FM,94.1
Nuggets,Nuggets at Rockets,2017-04-06 00:00:00+00:00,2017-04-06 02:30:00+00:00,AM,950
Rockies,Rockies at Brewers,2017-04-05 20:10:00-04:00,2017-04-05 23:10:00-04:00,FM,94.1
Rockies,Rockies at Brewers,2017-04-06 13:40:00-04:00,2017-04-06 16:40:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-04-07 16:10:00-04:00,2017-04-07 19:10:00-04:00,FM,94.1
Nuggets,Nuggets vs. Pelicans,2017-04-08 01:00:00+00:00,2017-04-08 03:30:00+00:00,AM,950
Rockies,Dodgers at Rockies,2017-04-08 20:10:00-04:00,2017-04-08 23:10:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-04-09 15:10:00-04:00,2017-04-09 18:10:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-04-10 20:40:00-04:00,2017-04-10 23:40:00-04:00,FM,94.1
Nuggets,Nuggets at Mavericks,2017-04-12 00:30:00+00:00,2017-04-12 03:00:00+00:00,AM,950
Rockies,Padres at Rockies,2017-04-11 20:40:00-04:00,2017-04-11 23:40:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-04-12 15:10:00-04:00,2017-04-12 18:10:00-04:00,FM,94.1
Nuggets,Nuggets at Thunder,2017-04-13 00:00:00+00:00,2017-04-13 02:30:00+00:00,AM,950
Rockies,Rockies at Giants,2017-04-13 22:15:00-04:00,2017-04-14 01:15:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-04-14 22:15:00-04:00,2017-04-15 01:15:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-04-15 16:05:00-04:00,2017-04-15 19:05:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-04-16 16:05:00-04:00,2017-04-16 19:05:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-04-18 22:10:00-04:00,2017-04-19 01:10:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-04-19 22:10:00-04:00,2017-04-20 01:10:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-04-21 20:40:00-04:00,2017-04-21 23:40:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-04-22 20:10:00-04:00,2017-04-22 23:10:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-04-23 15:10:00-04:00,2017-04-23 18:10:00-04:00,FM,94.1
Rockies,Nationals at Rockies,2017-04-24 20:40:00-04:00,2017-04-24 23:40:00-04:00,FM,94.1
Rockies,Nationals at Rockies,2017-04-25 20:40:00-04:00,2017-04-25 23:40:00-04:00,FM,94.1
