team,name,start,end,band,freq
Rockies,Nationals at Rockies,2017-04-26 20:40:00-04:00,2017-04-26 23:40:00-04:00,FM,94.1
Rockies,Nationals at Rockies,2017-04-27 15:10:00-04:00,2017-04-27 18:10:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-04-28 21:40:00-04:00,2017-04-29 00:40:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-04-29 20:10:00-04:00,2017-04-29 23:10:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-04-30 16:10:00-04:00,2017-04-30 19:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-05-02 22:10:00-04:00,2017-05-03 01:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-05-03 22:10:00-04:00,2017-05-04 01:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-05-04 15:40:00-04:00,2017-05-04 18:40:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-05-05 20:40:00-04:00,2017-05-05 23:40:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-05-06 20:10:00-04:00,2017-05-06 23:10:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-05-07 15:10:00-04:00,2017-05-07 18:10:00-04:00,FM,94.1
Rockies,Cubs at Rockies,2017-05-08 20:40:00-04:00,2017-05-08 23:40:00-04:00,FM,94.1
Rockies,Cubs at Rockies,2017-05-09 20:40:00-04:00,2017-05-09 23:40:00-04:00,FM,94.1
Rockies,Cubs at Rockies,2017-05-10 15:10:00-04:00,2017-05-10 18:10:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-05-11 20:40:00-04:00,2017-05-11 23:40:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-05-12 20:40:00-04:00,2017-05-12 23:40:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-05-13 20:10:00-04:00,2017-05-13 23:10:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-05-14 15:10:00-04:00,2017-05-14 18:10:00-04:00,FM,94.1
Rockies,Rockies at Twins,2017-05-16 20:10:00-04:00,2017-05-16 23:10:00-04:00,FM,94.1
Rockies,Rockies at Twins,2017-05-17 20:10:00-04:00,2017-05-17 23:10:00-04:00,FM,94.1
Rockies,Rockies at Twins,2017-05-18 13:10:00-04:00,2017-05-18 16:10:00-04:00,FM,94.1
Rockies,Rockies at Reds,2017-05-19 19:10:00-04:00,2017-05-19 22:10:00-04:00,FM,94.1
Rockies,Rockies at Reds,2017-05-20 16:10:00-04:00,2017-05-20 19:10:00-04:00,FM,94.1
Rockies,Rockies at Reds,2017-05-21 13:10:00-04:00,2017-05-21 16:10:00-04:00,FM,94.1
Rockies,Rockies at Phillies,2017-05-22 19:05:00-04:00,2017-05-22 22:05:00-04:00,FM,94.1
Rockies,Rockies at Phillies,2017-05-23 19:05:00-04:00,2017-05-23 22:05:00-04:00,FM,94.1
Rockies,Rockies at Phillies,2017-05-24 19:05:00-04:00,2017-05-24 22:05:00-04:00,FM,94.1
Rockies,Rockies at Phillies,2017-05-25 13:05:00-04:00,2017-05-25 16:05:00-04:00,FM,94.1
Rockies,Cardinals at Rockies,2017-05-26 20:40:00-04:00,2017-05-26 23:40:00-04:00,FM,94.1
Rockies,Cardinals at Rockies,2017-05-27 21:10:00-04:00,2017-05-28 00:10:00-04:00,FM,94.1
Rockies,Cardinals at Rockies,2017-05-28 15:10:00-04:00,2017-05-28 18:10:00-04:00,FM,94.1
Rockies,Mariners at Rockies,2017-05-29 15:10:00-04:00,2017-05-29 18:10:00-04:00,FM,94.1
Rockies,Mariners at Rockies,2017-05-30 19:10:00-04:00,2017-05-30 22:10:00-04:00,FM,94.1
Rockies,Rockies at Mariners,2017-05-31 22:10:00-04:00,2017-06-01 01:10:00-04:00,FM,94.1
Rockies,Rockies at Mariners,2017-06-01 15:40:00-04:00,2017-06-01 18:40:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-06-02 22:10:00-04:00,2017-06-03 01:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-06-03 16:10:00-04:00,2017-06-03 19:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-06-04 16:40:00-04:00,2017-06-04 19:40:00-04:00,FM,94.1
Rockies,Indians at Rockies,2017-06-06 20:40:00-04:00,2017-06-06 23:40:00-04:00,FM,94.1
Rockies,Indians at Rockies,2017-06-07 15:10:00-04:00,2017-06-07 18:10:00-04:00,FM,94.1
Rockies,Rockies at Cubs,2017-06-08 20:05:00-04:00,2017-06-08 23:05:00-04:00,FM,94.1
Rockies,Rockies at Cubs,2017-06-09 14:20:00-04:00,2017-06-09 17:20:00-04:00,FM,94.1
Rockies,Rockies at Cubs,2017-06-10 14:20:00-04:00,2017-06-10 17:20:00-04:00,FM,94.1
Rockies,Rockies at Cubs,2017-06-11 14:20:00-04:00,2017-06-11 17:20:00-04:00,FM,94.1
Rockies,Rockies at Pirates,2017-06-12 19:05:00-04:00,2017-06-12 22:05:00-04:00,FM,94.1
Rockies,Rockies at Pirates,2017-06-13 19:05:00-04:00,2017-06-13 22:05:00-04:00,FM,94.1
Rockies,Rockies at Pirates,2017-06-14 19:05:00-04:00,2017-06-14 22:05:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-06-15 20:40:00-04:00,2017-06-15 23:40:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-06-16 20:40:00-04:00,2017-06-16 23:40:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-06-17 15:10:00-04:00,2017-06-17 18:10:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-06-18 15:10:00-04:00,2017-06-18 18:10:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-06-20 20:40:00-04:00,2017-06-20 23:40:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-06-21 20:40:00-04:00,2017-06-21 23:40:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-06-22 15:10:00-04:00,2017-06-22 18:10:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-06-23 22:10:00-04:00,2017-06-24 01:10:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-06-24 22:10:00-04:00,2017-06-25 01:10:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-06-25 16:10:00-04:00,2017-06-25 19:10:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-06-26 22:15:00-04:00,2017-06-27 01:15:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-06-27 22:15:00-04:00,2017-06-28 01:15:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-06-28 15:45:00-04:00,2017-06-28 18:45:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-06-30 21:40:00-04:00,2017-07-01 00:40:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-07-01 22:10:00-04:00,2017-07-02 01:10:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-07-02 16:10:00-04:00,2017-07-02 19:10:00-04:00,FM,94.1
Rockies,Reds at Rockies,2017-07-03 20:10:00-04:00,2017-07-03 23:10:00-04:00,FM,94.1
Rockies,Reds at Rockies,2017-07-04 20:10:00-04:00,2017-07-04 23:10:00-04:00,FM,94.1
Rockies,Reds at Rockies,2017-07-05 20:40:00-04:00,2017-07-05 23:40:00-04:00,FM,94.1
Rockies,Reds at Rockies,2017-07-06 15:10:00-04:00,2017-07-06 18:10:00-04:00,FM,94.1
Rockies,White Sox at Rockies,2017-07-07 20:40:00-04:00,2017-07-07 23:40:00-04:00,FM,94.1
Rockies,White Sox at Rockies,2017-07-08 21:10:00-04:00,2017-07-09 00:10:00-04:00,FM,94.1
Rockies,White Sox at Rockies,2017-07-09 15:10:00-04:00,2017-07-09 18:10:00-04:00,FM,94.1
Rockies,AL All-Stars at NL All-Stars,2017-07-11 20:00:00-04:00,2017-07-11 23:00:00-04:00,FM,94.1
Rockies,Rockies at Mets,2017-07-14 19:10:00-04:00,2017-07-14 22:10:00-04:00,FM,94.1
Rockies,Rockies at Mets,2017-07-15 19:10:00-04:00,2017-07-15 22:10:00-04:00,FM,94.1
Rockies,Rockies at Mets,2017-07-16 13:10:00-04:00,2017-07-16 16:10:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-07-17 20:40:00-04:00,2017-07-17 23:40:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-07-18 20:40:00-04:00,2017-07-18 23:40:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-07-19 15:10:00-04:00,2017-07-19 18:10:00-04:00,FM,94.1
Rockies,Pirates at Rockies,2017-07-21 20:40:00-04:00,2017-07-21 23:40:00-04:00,FM,94.1
Rockies,Pirates at Rockies,2017-07-22 20:10:00-04:00,2017-07-22 23:10:00-04:00,FM,94.1
Rockies,Pirates at Rockies,2017-07-23 15:10:00-04:00,2017-07-23 18:10:00-04:00,FM,94.1
Rockies,Rockies at Cardinals,2017-07-24 20:15:00-04:00,2017-07-24 23:15:00-04:00,FM,94.1
Rockies,Rockies at Cardinals,2017-07-25 20:15:00-04:00,2017-07-25 23:15:00-04:00,FM,94.1
Rockies,Rockies at Cardinals,2017-07-26 20:15:00-04:00,2017-07-26 23:15:00-04:00,FM,94.1
Rockies,Rockies at Nationals,2017-07-28 19:05:00-04:00,2017-07-28 22:05:00-04:00,FM,94.1
Rockies,Rockies at Nationals,2017-07-29 19:05:00-04:00,2017-07-29 22:05:00-04:00,FM,94.1
Rockies,Rockies at Nationals,2017-07-30 13:35:00-04:00,2017-07-30 16:35:00-04:00,FM,94.1
Rockies,Mets at Rockies,2017-08-01 20:40:00-04:00,2017-08-01 23:40:00-04:00,FM,94.1
Rockies,Mets at Rockies,2017-08-02 20:40:00-04:00,2017-08-02 23:40:00-04:00,FM,94.1
Rockies,Mets at Rockies,2017-08-03 15:10:00-04:00,2017-08-03 18:10:00-04:00,FM,94.1
Rockies,Phillies at Rockies,2017-08-04 20:40:00-04:00,2017-08-04 23:40:00-04:00,FM,94.1
Rockies,Phillies at Rockies,2017-08-05 20:10:00-04:00,2017-08-05 23:10:00-04:00,FM,94.1
Rockies,Phillies at Rockies,2017-08-06 15:10:00-04:00,2017-08-06 18:10:00-04:00,FM,94.1
Rockies,Rockies at Indians,2017-08-08 19:10:00-04:00,2017-08-08 22:10:00-04:00,FM,94.1
Rockies,Rockies at Indians,2017-08-09 12:10:00-04:00,2017-08-09 15:10:00-04:00,FM,94.1
Rockies,Rockies at Marlins,2017-08-11 19:10:00-04:00,2017-08-11 22:10:00-04:00,FM,94.1
Rockies,Rockies at Marlins,2017-08-12 19:10:00-04:00,2017-08-12 22:10:00-04:00,FM,94.1
Rockies,Rockies at Marlins,2017-08-13 13:10:00-04:00,2017-08-13 16:10:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-14 20:40:00-04:00,2017-08-14 23:40:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-15 20:40:00-04:00,2017-08-15 23:40:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-16 20:40:00-04:00,2017-08-16 23:40:00-04:00,FM,94.1
Rockies,Braves at Rockies,2017-08-17 15:10:00-04:00,2017-08-17 18:10:00-04:00,FM,94.1
Rockies,Brewers at Rockies,2017-08-18 20:40:00-04:00,2017-08-18 23:40:00-04:00,FM,94.1
Rockies,Brewers at Rockies,2017-08-19 20:10:00-04:00,2017-08-19 23:10:00-04:00,FM,94.1
Rockies,Brewers at Rockies,2017-08-20 15:10:00-04:00,2017-08-20 18:10:00-04:00,FM,94.1
Rockies,Rockies at Royals,2017-08-22 20:15:00-04:00,2017-08-22 23:15:00-04:00,FM,94.1
Rockies,Rockies at Royals,2017-08-23 20:15:00-04:00,2017-08-23 23:15:00-04:00,FM,94.1
Rockies,Rockies at Royals,2017-08-24 14:15:00-04:00,2017-08-24 17:15:00-04:00,FM,94.1
Rockies,Rockies at Braves,2017-08-25 19:35:00-04:00,2017-08-25 22:35:00-04:00,FM,94.1
Rockies,Rockies at Braves,2017-08-26 19:10:00-04:00,2017-08-26 22:10:00-04:00,FM,94.1
Rockies,Rockies at Braves,2017-08-27 13:35:00-04:00,2017-08-27 16:35:00-04:00,FM,94.1
Rockies,Tigers at Rockies,2017-08-28 20:40:00-04:00,2017-08-28 23:40:00-04:00,FM,94.1
Rockies,Tigers at Rockies,2017-08-29 20:40:00-04:00,2017-08-29 23:40:00-04:00,FM,94.1
Rockies,Tigers at Rockies,2017-08-30 15:10:00-04:00,2017-08-30 18:10:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-09-01 20:40:00-04:00,2017-09-01 23:40:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-09-02 20:10:00-04:00,2017-09-02 23:10:00-04:00,FM,94.1
Rockies,D-backs at Rockies,2017-09-03 15:10:00-04:00,2017-09-03 18:10:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-09-04 15:10:00-04:00,2017-09-04 18:10:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-09-05 20:40:00-04:00,2017-09-05 23:40:00-04:00,FM,94.1
Rockies,Giants at Rockies,2017-09-06 20:40:00-04:00,2017-09-06 23:40:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-09-07 22:10:00-04:00,2017-09-08 01:10:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-09-08 22:10:00-04:00,2017-09-09 01:10:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-09-09 21:10:00-04:00,2017-09-10 00:10:00-04:00,FM,94.1
Rockies,Rockies at Dodgers,2017-09-10 16:10:00-04:00,2017-09-10 19:10:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-09-11 21:40:00-04:00,2017-09-12 00:40:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-09-12 21:40:00-04:00,2017-09-13 00:40:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-09-13 21:40:00-04:00,2017-09-14 00:40:00-04:00,FM,94.1
Rockies,Rockies at D-backs,2017-09-14 15:40:00-04:00,2017-09-14 18:40:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-09-15 20:40:00-04:00,2017-09-15 23:40:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-09-16 20:10:00-04:00,2017-09-16 23:10:00-04:00,FM,94.1
Rockies,Padres at Rockies,2017-09-17 15:10:00-04:00,2017-09-17 18:10:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-09-19 22:15:00-04:00,2017-09-20 01:15:00-04:00,FM,94.1
Rockies,Rockies at Giants,2017-09-20 15:45:00-04:00,2017-09-20 18:45:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-09-21 22:10:00-04:00,2017-09-22 01:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-09-22 22:10:00-04:00,2017-09-23 01:10:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-09-23 20:40:00-04:00,2017-09-23 23:40:00-04:00,FM,94.1
Rockies,Rockies at Padres,2017-09-24 16:40:00-04:00,2017-09-24 19:40:00-04:00,FM,94.1
Rockies,Marlins at Rockies,2017-09-25 20:40:00-04:00,2017-09-25 23:40:00-04:00,FM,94.1
Rockies,Marlins at Rockies,2017-09-26 20:40:00-04:00,2017-09-26 23:40:00-04:00,FM,94.1
Rockies,Marlins at Rockies,2017-09-27 15:10:00-04:00,2017-09-27 18:10:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-09-29 20:10:00-04:00,2017-09-29 23:10:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-09-30 20:10:00-04:00,2017-09-30 23:10:00-04:00,FM,94.1
Rockies,Dodgers at Rockies,2017-10-01 15:10:00-04:00,2017-10-01 18:10:00-04:00,FM,94.1
