START DATE,START TIME,START TIME ET,SUBJECT,LOCATION,DESCRIPTION,END DATE,END DATE ET,END TIME,END TIME ET,REMINDER OFF,REMINDER ON,REMINDER DATE,REMINDER TIME,REMINDER TIME ET,SHOWTIMEAS FREE,SHOWTIMEAS BUSY
06/08/17,06:05 PM,08:05 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/08/17,06/08/17,09:05 PM,11:05 PM,FALSE,TRUE,06/08/17,05:05 PM,07:05 PM,FREE,BUSY
06/09/17,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/09/17,06/09/17,03:20 PM,05:20 PM,FALSE,TRUE,06/09/17,11:20 AM,01:20 PM,FREE,BUSY
06/10/17,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/10/17,06/10/17,03:20 PM,05:20 PM,FALSE,TRUE,06/10/17,11:20 AM,01:20 PM,FREE,BUSY
06/11/17,12:20 PM,02:20 PM,Rockies at Cubs,Wrigley Field - Chicago,"",06/11/17,06/11/17,03:20 PM,05:20 PM,FALSE,TRUE,06/11/17,11:20 AM,01:20 PM,FREE,BUSY
06/12/17,05:05 PM,07:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",06/12/17,06/12/17,08:05 PM,10:05 PM,FALSE,TRUE,06/12/17,04:05 PM,06:05 PM,FREE,BUSY
06/13/17,05:05 PM,07:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",06/13/17,06/13/17,08:05 PM,10:05 PM,FALSE,TRUE,06/13/17,04:05 PM,06:05 PM,FREE,BUSY
06/14/17,05:05 PM,07:05 PM,Rockies at Pirates,PNC Park - Pittsburgh,"",06/14/17,06/14/17,08:05 PM,10:05 PM,FALSE,TRUE,06/14/17,04:05 PM,06:05 PM,FREE,BUSY
06/15/17,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",06/15/17,06/15/17,09:40 PM,11:40 PM,FALSE,TRUE,06/15/17,05:40 PM,07:40 PM,FREE,BUSY
06/16/17,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",06/16/17,06/16/17,09:40 PM,11:40 PM,FALSE,TRUE,06/16/17,05:40 PM,07:40 PM,FREE,BUSY
06/17/17,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"",06/17/17,06/17/17,04:10 PM,06:10 PM,FALSE,TRUE,06/17/17,12:10 PM,02:10 PM,FREE,BUSY
06/18/17,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"",06/18/17,06/18/17,04:10 PM,06:10 PM,FALSE,TRUE,06/18/17,12:10 PM,02:10 PM,FREE,BUSY
06/20/17,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"",06/20/17,06/20/17,09:40 PM,11:40 PM,FALSE,TRUE,06/20/17,05:40 PM,07:40 PM,FREE,BUSY
06/21/17,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"",06/21/17,06/21/17,09:40 PM,11:40 PM,FALSE,TRUE,06/21/17,05:40 PM,07:40 PM,FREE,BUSY
06/22/17,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"",06/22/17,06/22/17,04:10 PM,06:10 PM,FALSE,TRUE,06/22/17,12:10 PM,02:10 PM,FREE,BUSY
06/23/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",06/23/17,06/24/17,11:10 PM,01:10 AM,FALSE,TRUE,06/23/17,07:10 PM,09:10 PM,FREE,BUSY
06/24/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",06/24/17,06/25/17,11:10 PM,01:10 AM,FALSE,TRUE,06/24/17,07:10 PM,09:10 PM,FREE,BUSY
06/25/17,02:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",06/25/17,06/25/17,05:10 PM,07:10 PM,FALSE,TRUE,06/25/17,01:10 PM,03:10 PM,FREE,BUSY
06/26/17,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"",06/26/17,06/27/17,11:15 PM,01:15 AM,FALSE,TRUE,06/26/17,07:15 PM,09:15 PM,FREE,BUSY
06/27/17,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"",06/27/17,06/28/17,11:15 PM,01:15 AM,FALSE,TRUE,06/27/17,07:15 PM,09:15 PM,FREE,BUSY
06/28/17,01:45 PM,03:45 PM,Rockies at Giants,AT&T Park - San Francisco,"",06/28/17,06/28/17,04:45 PM,06:45 PM,FALSE,TRUE,06/28/17,12:45 PM,02:45 PM,FREE,BUSY
06/30/17,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",06/30/17,07/01/17,10:40 PM,12:40 AM,FALSE,TRUE,06/30/17,06:40 PM,08:40 PM,FREE,BUSY
07/01/17,08:10 PM,10:10 PM,Rockies at D-backs,Chase Field - Phoenix,"",07/01/17,07/02/17,11:10 PM,01:10 AM,FALSE,TRUE,07/01/17,07:10 PM,09:10 PM,FREE,BUSY
07/02/17,02:10 PM,04:10 PM,Rockies at D-backs,Chase Field - Phoenix,"",07/02/17,07/02/17,05:10 PM,07:10 PM,FALSE,TRUE,07/02/17,01:10 PM,03:10 PM,FREE,BUSY
07/03/17,06:10 PM,08:10 PM,Reds at Rockies,Coors Field - Denver,"",07/03/17,07/03/17,09:10 PM,11:10 PM,FALSE,TRUE,07/03/17,05:10 PM,07:10 PM,FREE,BUSY
07/04/17,06:10 PM,08:10 PM,Reds at Rockies,Coors Field - Denver,"",07/04/17,07/04/17,09:10 PM,11:10 PM,FALSE,TRUE,07/04/17,05:10 PM,07:10 PM,FREE,BUSY
07/05/17,06:40 PM,08:40 PM,Reds at Rockies,Coors Field - Denver,"",07/05/17,07/05/17,09:40 PM,11:40 PM,FALSE,TRUE,07/05/17,05:40 PM,07:40 PM,FREE,BUSY
07/06/17,01:10 PM,03:10 PM,Reds at Rockies,Coors Field - Denver,"",07/06/17,07/06/17,04:10 PM,06:10 PM,FALSE,TRUE,07/06/17,12:10 PM,02:10 PM,FREE,BUSY
07/07/17,06:40 PM,08:40 PM,White Sox at Rockies,Coors Field - Denver,"",07/07/17,07/07/17,09:40 PM,11:40 PM,FALSE,TRUE,07/07/17,05:40 PM,07:40 PM,FREE,BUSY
07/08/17,07:10 PM,09:10 PM,White Sox at Rockies,Coors Field - Denver,"",07/08/17,07/09/17,10:10 PM,12:10 AM,FALSE,TRUE,07/08/17,06:10 PM,08:10 PM,FREE,BUSY
07/09/17,01:10 PM,03:10 PM,White Sox at Rockies,Coors Field - Denver,"",07/09/17,07/09/17,04:10 PM,06:10 PM,FALSE,TRUE,07/09/17,12:10 PM,02:10 PM,FREE,BUSY
07/11/17,08:00 PM,08:00 PM,AL All-Stars at NL All-Stars,Marlins Park - Miami,"",07/11/17,07/11/17,11:00 PM,11:00 PM,FALSE,TRUE,07/11/17,07:00 PM,07:00 PM,FREE,BUSY
07/14/17,05:10 PM,07:10 PM,Rockies at Mets,Citi Field - Flushing,"",07/14/17,07/14/17,08:10 PM,10:10 PM,FALSE,TRUE,07/14/17,04:10 PM,06:10 PM,FREE,BUSY
07/15/17,05:10 PM,07:10 PM,Rockies at Mets,Citi Field - Flushing,"",07/15/17,07/15/17,08:10 PM,10:10 PM,FALSE,TRUE,07/15/17,04:10 PM,06:10 PM,FREE,BUSY
07/16/17,11:10 AM,01:10 PM,Rockies at Mets,Citi Field - Flushing,"",07/16/17,07/16/17,02:10 PM,04:10 PM,FALSE,TRUE,07/16/17,10:10 AM,12:10 PM,FREE,BUSY
07/17/17,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",07/17/17,07/17/17,09:40 PM,11:40 PM,FALSE,TRUE,07/17/17,05:40 PM,07:40 PM,FREE,BUSY
07/18/17,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",07/18/17,07/18/17,09:40 PM,11:40 PM,FALSE,TRUE,07/18/17,05:40 PM,07:40 PM,FREE,BUSY
07/19/17,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"",07/19/17,07/19/17,04:10 PM,06:10 PM,FALSE,TRUE,07/19/17,12:10 PM,02:10 PM,FREE,BUSY
07/21/17,06:40 PM,08:40 PM,Pirates at Rockies,Coors Field - Denver,"",07/21/17,07/21/17,09:40 PM,11:40 PM,FALSE,TRUE,07/21/17,05:40 PM,07:40 PM,FREE,BUSY
07/22/17,06:10 PM,08:10 PM,Pirates at Rockies,Coors Field - Denver,"",07/22/17,07/22/17,09:10 PM,11:10 PM,FALSE,TRUE,07/22/17,05:10 PM,07:10 PM,FREE,BUSY
07/23/17,01:10 PM,03:10 PM,Pirates at Rockies,Coors Field - Denver,"",07/23/17,07/23/17,04:10 PM,06:10 PM,FALSE,TRUE,07/23/17,12:10 PM,02:10 PM,FREE,BUSY
07/24/17,06:15 PM,08:15 PM,Rockies at Cardinals,Busch Stadium - St. Louis,"",07/24/17,07/24/17,09:15 PM,11:15 PM,FALSE,TRUE,07/24/17,05:15 PM,07:15 PM,FREE,BUSY
07/25/17,06:15 PM,08:15 PM,Rockies at Cardinals,Busch Stadium - St. Louis,"",07/25/17,07/25/17,09:15 PM,11:15 PM,FALSE,TRUE,07/25/17,05:15 PM,07:15 PM,FREE,BUSY
07/26/17,06:15 PM,08:15 PM,Rockies at Cardinals,Busch Stadium - St. Louis,"",07/26/17,07/26/17,09:15 PM,11:15 PM,FALSE,TRUE,07/26/17,05:15 PM,07:15 PM,FREE,BUSY
07/28/17,05:05 PM,07:05 PM,Rockies at Nationals,Nationals Park - Washington,"",07/28/17,07/28/17,08:05 PM,10:05 PM,FALSE,TRUE,07/28/17,04:05 PM,06:05 PM,FREE,BUSY
07/29/17,05:05 PM,07:05 PM,Rockies at Nationals,Nationals Park - Washington,"",07/29/17,07/29/17,08:05 PM,10:05 PM,FALSE,TRUE,07/29/17,04:05 PM,06:05 PM,FREE,BUSY
07/30/17,11:35 AM,01:35 PM,Rockies at Nationals,Nationals Park - Washington,"",07/30/17,07/30/17,02:35 PM,04:35 PM,FALSE,TRUE,07/30/17,10:35 AM,12:35 PM,FREE,BUSY
08/01/17,06:40 PM,08:40 PM,Mets at Rockies,Coors Field - Denver,"",08/01/17,08/01/17,09:40 PM,11:40 PM,FALSE,TRUE,08/01/17,05:40 PM,07:40 PM,FREE,BUSY
08/02/17,06:40 PM,08:40 PM,Mets at Rockies,Coors Field - Denver,"",08/02/17,08/02/17,09:40 PM,11:40 PM,FALSE,TRUE,08/02/17,05:40 PM,07:40 PM,FREE,BUSY
08/03/17,01:10 PM,03:10 PM,Mets at Rockies,Coors Field - Denver,"",08/03/17,08/03/17,04:10 PM,06:10 PM,FALSE,TRUE,08/03/17,12:10 PM,02:10 PM,FREE,BUSY
08/04/17,06:40 PM,08:40 PM,Phillies at Rockies,Coors Field - Denver,"",08/04/17,08/04/17,09:40 PM,11:40 PM,FALSE,TRUE,08/04/17,05:40 PM,07:40 PM,FREE,BUSY
08/05/17,06:10 PM,08:10 PM,Phillies at Rockies,Coors Field - Denver,"",08/05/17,08/05/17,09:10 PM,11:10 PM,FALSE,TRUE,08/05/17,05:10 PM,07:10 PM,FREE,BUSY
08/06/17,01:10 PM,03:10 PM,Phillies at Rockies,Coors Field - Denver,"",08/06/17,08/06/17,04:10 PM,06:10 PM,FALSE,TRUE,08/06/17,12:10 PM,02:10 PM,FREE,BUSY
08/08/17,05:10 PM,07:10 PM,Rockies at Indians,Progressive Field - Cleveland,"",08/08/17,08/08/17,08:10 PM,10:10 PM,FALSE,TRUE,08/08/17,04:10 PM,06:10 PM,FREE,BUSY
08/09/17,10:10 AM,12:10 PM,Rockies at Indians,Progressive Field - Cleveland,"",08/09/17,08/09/17,01:10 PM,03:10 PM,FALSE,TRUE,08/09/17,09:10 AM,11:10 AM,FREE,BUSY
08/11/17,05:10 PM,07:10 PM,Rockies at Marlins,Marlins Park - Miami,"",08/11/17,08/11/17,08:10 PM,10:10 PM,FALSE,TRUE,08/11/17,04:10 PM,06:10 PM,FREE,BUSY
08/12/17,05:10 PM,07:10 PM,Rockies at Marlins,Marlins Park - Miami,"",08/12/17,08/12/17,08:10 PM,10:10 PM,FALSE,TRUE,08/12/17,04:10 PM,06:10 PM,FREE,BUSY
08/13/17,11:10 AM,01:10 PM,Rockies at Marlins,Marlins Park - Miami,"",08/13/17,08/13/17,02:10 PM,04:10 PM,FALSE,TRUE,08/13/17,10:10 AM,12:10 PM,FREE,BUSY
08/14/17,06:40 PM,08:40 PM,Braves at Rockies,Coors Field - Denver,"",08/14/17,08/14/17,09:40 PM,11:40 PM,FALSE,TRUE,08/14/17,05:40 PM,07:40 PM,FREE,BUSY
08/15/17,06:40 PM,08:40 PM,Braves at Rockies,Coors Field - Denver,"",08/15/17,08/15/17,09:40 PM,11:40 PM,FALSE,TRUE,08/15/17,05:40 PM,07:40 PM,FREE,BUSY
08/16/17,06:40 PM,08:40 PM,Braves at Rockies,Coors Field - Denver,"",08/16/17,08/16/17,09:40 PM,11:40 PM,FALSE,TRUE,08/16/17,05:40 PM,07:40 PM,FREE,BUSY
08/17/17,01:10 PM,03:10 PM,Braves at Rockies,Coors Field - Denver,"",08/17/17,08/17/17,04:10 PM,06:10 PM,FALSE,TRUE,08/17/17,12:10 PM,02:10 PM,FREE,BUSY
08/18/17,06:40 PM,08:40 PM,Brewers at Rockies,Coors Field - Denver,"",08/18/17,08/18/17,09:40 PM,11:40 PM,FALSE,TRUE,08/18/17,05:40 PM,07:40 PM,FREE,BUSY
08/19/17,06:10 PM,08:10 PM,Brewers at Rockies,Coors Field - Denver,"",08/19/17,08/19/17,09:10 PM,11:10 PM,FALSE,TRUE,08/19/17,05:10 PM,07:10 PM,FREE,BUSY
08/20/17,01:10 PM,03:10 PM,Brewers at Rockies,Coors Field - Denver,"",08/20/17,08/20/17,04:10 PM,06:10 PM,FALSE,TRUE,08/20/17,12:10 PM,02:10 PM,FREE,BUSY
08/22/17,06:15 PM,08:15 PM,Rockies at Royals,Kauffman Stadium - Kansas City,"",08/22/17,08/22/17,09:15 PM,11:15 PM,FALSE,TRUE,08/22/17,05:15 PM,07:15 PM,FREE,BUSY
08/23/17,06:15 PM,08:15 PM,Rockies at Royals,Kauffman Stadium - Kansas City,"",08/23/17,08/23/17,09:15 PM,11:15 PM,FALSE,TRUE,08/23/17,05:15 PM,07:15 PM,FREE,BUSY
08/24/17,12:15 PM,02:15 PM,Rockies at Royals,Kauffman Stadium - Kansas City,"",08/24/17,08/24/17,03:15 PM,05:15 PM,FALSE,TRUE,08/24/17,11:15 AM,01:15 PM,FREE,BUSY
08/25/17,05:35 PM,07:35 PM,Rockies at Braves,SunTrust Park - Atlanta,"",08/25/17,08/25/17,08:35 PM,10:35 PM,FALSE,TRUE,08/25/17,04:35 PM,06:35 PM,FREE,BUSY
08/26/17,05:10 PM,07:10 PM,Rockies at Braves,SunTrust Park - Atlanta,"",08/26/17,08/26/17,08:10 PM,10:10 PM,FALSE,TRUE,08/26/17,04:10 PM,06:10 PM,FREE,BUSY
08/27/17,11:35 AM,01:35 PM,Rockies at Braves,SunTrust Park - Atlanta,"",08/27/17,08/27/17,02:35 PM,04:35 PM,FALSE,TRUE,08/27/17,10:35 AM,12:35 PM,FREE,BUSY
08/28/17,06:40 PM,08:40 PM,Tigers at Rockies,Coors Field - Denver,"",08/28/17,08/28/17,09:40 PM,11:40 PM,FALSE,TRUE,08/28/17,05:40 PM,07:40 PM,FREE,BUSY
08/29/17,06:40 PM,08:40 PM,Tigers at Rockies,Coors Field - Denver,"",08/29/17,08/29/17,09:40 PM,11:40 PM,FALSE,TRUE,08/29/17,05:40 PM,07:40 PM,FREE,BUSY
08/30/17,01:10 PM,03:10 PM,Tigers at Rockies,Coors Field - Denver,"",08/30/17,08/30/17,04:10 PM,06:10 PM,FALSE,TRUE,08/30/17,12:10 PM,02:10 PM,FREE,BUSY
09/01/17,06:40 PM,08:40 PM,D-backs at Rockies,Coors Field - Denver,"",09/01/17,09/01/17,09:40 PM,11:40 PM,FALSE,TRUE,09/01/17,05:40 PM,07:40 PM,FREE,BUSY
09/02/17,06:10 PM,08:10 PM,D-backs at Rockies,Coors Field - Denver,"",09/02/17,09/02/17,09:10 PM,11:10 PM,FALSE,TRUE,09/02/17,05:10 PM,07:10 PM,FREE,BUSY
09/03/17,01:10 PM,03:10 PM,D-backs at Rockies,Coors Field - Denver,"",09/03/17,09/03/17,04:10 PM,06:10 PM,FALSE,TRUE,09/03/17,12:10 PM,02:10 PM,FREE,BUSY
09/04/17,01:10 PM,03:10 PM,Giants at Rockies,Coors Field - Denver,"",09/04/17,09/04/17,04:10 PM,06:10 PM,FALSE,TRUE,09/04/17,12:10 PM,02:10 PM,FREE,BUSY
09/05/17,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",09/05/17,09/05/17,09:40 PM,11:40 PM,FALSE,TRUE,09/05/17,05:40 PM,07:40 PM,FREE,BUSY
09/06/17,06:40 PM,08:40 PM,Giants at Rockies,Coors Field - Denver,"",09/06/17,09/06/17,09:40 PM,11:40 PM,FALSE,TRUE,09/06/17,05:40 PM,07:40 PM,FREE,BUSY
09/07/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",09/07/17,09/08/17,11:10 PM,01:10 AM,FALSE,TRUE,09/07/17,07:10 PM,09:10 PM,FREE,BUSY
09/08/17,08:10 PM,10:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",09/08/17,09/09/17,11:10 PM,01:10 AM,FALSE,TRUE,09/08/17,07:10 PM,09:10 PM,FREE,BUSY
09/09/17,07:10 PM,09:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",09/09/17,09/10/17,10:10 PM,12:10 AM,FALSE,TRUE,09/09/17,06:10 PM,08:10 PM,FREE,BUSY
09/10/17,02:10 PM,04:10 PM,Rockies at Dodgers,Dodger Stadium - Los Angeles,"",09/10/17,09/10/17,05:10 PM,07:10 PM,FALSE,TRUE,09/10/17,01:10 PM,03:10 PM,FREE,BUSY
09/11/17,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",09/11/17,09/12/17,10:40 PM,12:40 AM,FALSE,TRUE,09/11/17,06:40 PM,08:40 PM,FREE,BUSY
09/12/17,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",09/12/17,09/13/17,10:40 PM,12:40 AM,FALSE,TRUE,09/12/17,06:40 PM,08:40 PM,FREE,BUSY
09/13/17,07:40 PM,09:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",09/13/17,09/14/17,10:40 PM,12:40 AM,FALSE,TRUE,09/13/17,06:40 PM,08:40 PM,FREE,BUSY
09/14/17,01:40 PM,03:40 PM,Rockies at D-backs,Chase Field - Phoenix,"",09/14/17,09/14/17,04:40 PM,06:40 PM,FALSE,TRUE,09/14/17,12:40 PM,02:40 PM,FREE,BUSY
09/15/17,06:40 PM,08:40 PM,Padres at Rockies,Coors Field - Denver,"",09/15/17,09/15/17,09:40 PM,11:40 PM,FALSE,TRUE,09/15/17,05:40 PM,07:40 PM,FREE,BUSY
09/16/17,06:10 PM,08:10 PM,Padres at Rockies,Coors Field - Denver,"",09/16/17,09/16/17,09:10 PM,11:10 PM,FALSE,TRUE,09/16/17,05:10 PM,07:10 PM,FREE,BUSY
09/17/17,01:10 PM,03:10 PM,Padres at Rockies,Coors Field - Denver,"",09/17/17,09/17/17,04:10 PM,06:10 PM,FALSE,TRUE,09/17/17,12:10 PM,02:10 PM,FREE,BUSY
09/19/17,08:15 PM,10:15 PM,Rockies at Giants,AT&T Park - San Francisco,"",09/19/17,09/20/17,11:15 PM,01:15 AM,FALSE,TRUE,09/19/17,07:15 PM,09:15 PM,FREE,BUSY
09/20/17,01:45 PM,03:45 PM,Rockies at Giants,AT&T Park - San Francisco,"",09/20/17,09/20/17,04:45 PM,06:45 PM,FALSE,TRUE,09/20/17,12:45 PM,02:45 PM,FREE,BUSY
09/21/17,08:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"",09/21/17,09/22/17,11:10 PM,01:10 AM,FALSE,TRUE,09/21/17,07:10 PM,09:10 PM,FREE,BUSY
09/22/17,08:10 PM,10:10 PM,Rockies at Padres,Petco Park - San Diego,"",09/22/17,09/23/17,11:10 PM,01:10 AM,FALSE,TRUE,09/22/17,07:10 PM,09:10 PM,FREE,BUSY
09/23/17,06:40 PM,08:40 PM,Rockies at Padres,Petco Park - San Diego,"",09/23/17,09/23/17,09:40 PM,11:40 PM,FALSE,TRUE,09/23/17,05:40 PM,07:40 PM,FREE,BUSY
09/24/17,02:40 PM,04:40 PM,Rockies at Padres,Petco Park - San Diego,"",09/24/17,09/24/17,05:40 PM,07:40 PM,FALSE,TRUE,09/24/17,01:40 PM,03:40 PM,FREE,BUSY
09/25/17,06:40 PM,08:40 PM,Marlins at Rockies,Coors Field - Denver,"",09/25/17,09/25/17,09:40 PM,11:40 PM,FALSE,TRUE,09/25/17,05:40 PM,07:40 PM,FREE,BUSY
09/26/17,06:40 PM,08:40 PM,Marlins at Rockies,Coors Field - Denver,"",09/26/17,09/26/17,09:40 PM,11:40 PM,FALSE,TRUE,09/26/17,05:40 PM,07:40 PM,FREE,BUSY
09/27/17,01:10 PM,03:10 PM,Marlins at Rockies,Coors Field - Denver,"",09/27/17,09/27/17,04:10 PM,06:10 PM,FALSE,TRUE,09/27/17,12:10 PM,02:10 PM,FREE,BUSY
09/29/17,06:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,"",09/29/17,09/29/17,09:10 PM,11:10 PM,FALSE,TRUE,09/29/17,05:10 PM,07:10 PM,FREE,BUSY
09/30/17,06:10 PM,08:10 PM,Dodgers at Rockies,Coors Field - Denver,"",09/30/17,09/30/17,09:10 PM,11:10 PM,FALSE,TRUE,09/30/17,05:10 PM,07:10 PM,FREE,BUSY
10/01/17,01:10 PM,03:10 PM,Dodgers at Rockies,Coors Field - Denver,"",10/01/17,10/01/17,04:10 PM,06:10 PM,FALSE,TRUE,10/01/17,12:10 PM,02:10 PM,FREE,BUSY
